Date,Articles,Terms,Negativ,Positiv
02/01/2005,3,1013,4.540967423,3.356367226
03/01/2005,6,2013,4.321907601,4.172876304
04/01/2005,6,1751,3.14106225,5.0256996
05/01/2005,5,1242,4.589371981,4.347826087
06/01/2005,7,1384,3.612716763,4.11849711
07/01/2005,9,1898,3.003161222,4.16227608
08/01/2005,3,737,3.934871099,4.748982361
09/01/2005,3,1032,3.779069767,3.391472868
10/01/2005,9,2523,2.972651605,3.567181926
11/01/2005,10,2459,3.131354209,3.619357462
12/01/2005,7,1743,3.557085485,4.13080895
13/01/2005,9,1713,3.093987157,3.911266783
14/01/2005,9,1890,2.592592593,5.44973545
15/01/2005,4,977,2.968270215,5.93654043
16/01/2005,3,1025,4.195121951,4.682926829
17/01/2005,5,1724,3.712296984,4.582366589
18/01/2005,7,2045,3.276283619,4.743276284
19/01/2005,7,1756,4.897494305,3.416856492
20/01/2005,7,1527,4.911591356,3.798297315
21/01/2005,8,1774,3.21307779,4.453213078
22/01/2005,4,950,3.578947368,4.947368421
23/01/2005,2,702,4.273504274,3.703703704
24/01/2005,7,1749,3.201829617,5.031446541
25/01/2005,7,1687,2.667457024,5.275637226
26/01/2005,10,2429,3.417044051,4.405104981
27/01/2005,8,1946,3.597122302,3.751284687
28/01/2005,7,1986,3.021148036,4.733131923
29/01/2005,2,1374,2.328966521,4.949053857
30/01/2005,3,1056,3.598484848,3.787878788
31/01/2005,6,1729,3.643724696,3.528050896
01/02/2005,7,1757,3.642572567,4.040978941
02/02/2005,12,2990,3.244147157,4.615384615
03/02/2005,10,2406,3.6159601,4.156275977
04/02/2005,10,1895,3.166226913,4.907651715
05/02/2005,3,770,3.506493506,5.584415584
06/02/2005,1,330,2.121212121,3.636363636
07/02/2005,7,2017,4.065443728,3.718393654
08/02/2005,10,2535,3.58974359,4.181459566
09/02/2005,11,2706,3.658536585,4.101995565
10/02/2005,8,1971,3.297818366,4.414003044
11/02/2005,8,1422,1.828410689,5.485232068
12/02/2005,3,763,3.145478375,3.669724771
13/02/2005,3,1044,3.735632184,5.076628352
14/02/2005,6,1794,3.846153846,4.738015608
15/02/2005,10,2505,3.073852295,3.912175649
16/02/2005,11,1873,3.150026695,3.310197544
17/02/2005,12,1903,2.942722018,4.939569101
18/02/2005,9,2329,3.434950623,4.63718334
19/02/2005,4,961,3.746097815,4.266389178
20/02/2005,3,981,4.179408767,3.567787971
21/02/2005,8,2230,3.452914798,4.170403587
22/02/2005,8,1997,3.204807211,4.857285929
23/02/2005,6,1482,3.238866397,4.116059379
